Auxiliary Boilers A/B Feed Water Header Pressure 2,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Heat Recovery System Header Pressure.1,Lube Oil Cooler Outlet Temperature,Lube Oil Tank Temperature,Motor Current Phase A,Motor Current Phase B,Motor Current Phase C,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 1 Bearing Temperature,Pump Journal 2 Bearing Temperature,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Pressure 2,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1,Pump Thrust Bearing Temperature 2,Pump Radial Bearing Vibration
1308.628906,1306.82666,301136.7188,303881.9688,1778.604004,1782.531738,71.0182724,76.41608429,146,146.696167,144.6903534,NaN,NaN,4237,1789.34375,860.9993896,137.0748596,144.2704773,3589.296387,25.07317924,16.87034416,0.278315097,226.7227478,98.16178894,86.38865662,9.502779961
1308.149902,1308.732544,299801,303729.9688,1778.767944,1782.568481,71.01095581,76.39620972,145.3079224,145.3079224,144.3079224,NaN,NaN,4231.615723,1789.346313,853.0578613,137.0726929,144.2694244,3589.296875,25.04515266,16.86975861,0.278646201,226.7220001,98.16575623,86.38211823,9.492502213
1307.130737,1310.638428,300557.0625,302601.5,1778.932007,1782.605225,71.00364685,76.37634277,145,144,144,NaN,NaN,4243,1789.348999,855.8275757,137.0705109,144.2683563,3589.297363,25.05524445,16.86917305,0.278977334,226.7212372,98.16971588,86.37558746,9.482225418
1306.111572,1309.578369,301272.1563,303451.75,1779.095947,1782.641968,70.99633026,76.3564682,145.2960968,145.5921936,144,NaN,NaN,4233.072754,1789.351563,855.0948486,137.0683441,144.2673035,3589.297852,25.08011818,16.8685894,0.279312134,226.7204895,98.17368317,86.3690567,9.47194767
1305.092407,1308.043701,300435.5313,304021.2813,1779.26001,1782.678711,70.9890213,76.33660126,147.3922119,146.696106,145.6996307,NaN,NaN,4240.657227,1789.354248,857.5504761,137.0661774,144.2662506,3589.29834,25.01144981,16.86800385,0.279701978,226.7197266,98.17765045,86.36252594,9.461670876
1304.07312,1306.509033,300278.0938,302241.2813,1779.42395,1782.715454,70.98170471,76.31673431,146.3082275,145.9246674,144.6164551,NaN,NaN,4231.623535,1789.356812,850.994873,137.0639954,144.2651825,3589.298828,24.99998093,16.86741829,0.280091822,226.7189789,98.18161011,86.35599518,9.451393127
1303.053955,1304.974365,300794,303780.5938,1779.587891,1782.752197,70.97439575,76.29685974,146.5702209,146,145,NaN,NaN,4232.578613,1789.359497,858.6717529,137.0618286,144.2641296,3589.299561,25.07665062,16.86683273,0.280481666,226.7182312,98.18557739,86.34946442,9.471216202
1303.820313,1303.439697,302112.25,303896.5,1779.751953,1782.78894,70.96707916,76.2769928,146.6914978,146.3829956,144.6914978,NaN,NaN,4232,1789.362061,856.4495239,137.0596619,144.2630768,3589.300049,25.07877922,16.86624718,0.280871511,226.7174683,98.18953705,86.34292603,9.575824738
1305.024292,1302.446411,301198.7188,303855.0625,1779.915894,1782.825684,70.9597702,76.25712585,145.6878815,145,144,NaN,NaN,4244.171387,1789.364746,859.3044434,137.0574799,144.2620087,3589.300537,25.08090591,16.86566162,0.281261355,226.7167206,98.19350433,86.33639526,9.68043232
1306.851807,1309.763916,300648.375,301890.0625,1780.079956,1782.862427,70.95246124,76.23725128,145,145,144,NaN,NaN,4236,1789.36731,851.8755493,137.0553131,144.2609558,3589.301025,25.02742195,16.86507797,0.281651199,226.7159576,98.19747162,86.3298645,9.785040855
1308.778687,1307.036377,301059.8438,302183.4375,1780.243896,1782.89917,70.94514465,76.21738434,145.293457,146,144,NaN,NaN,4237.239258,1789.369995,850.1923828,137.0531464,144.2598877,3589.301514,24.94337845,16.86449242,0.282041043,226.71521,98.20143127,86.32333374,9.861176491
1307.068848,1304.308838,300995.625,303586.7813,1780.407959,1782.935913,70.93783569,76.19750977,145.3073883,145.3073883,144.3073883,NaN,NaN,4240.762695,1789.372559,852.5935669,137.0509796,144.2588348,3589.302002,25.08896255,16.86390686,0.282430887,226.714447,98.20539856,86.31680298,9.499012947
1301.124023,1301.581421,300539.375,302663.7188,1780.571899,1782.972534,70.9305191,76.17764282,144.6081085,145.3040619,144,NaN,NaN,4238.567383,1789.375244,853.0775146,137.0487976,144.257782,3589.302734,25.16104507,16.8633213,0.282820761,226.7136993,98.20935822,86.31026459,9.320343018
1295.179077,1298.853882,301254.125,303388.5313,1780.735962,1783.009277,70.92321014,76.15777588,144.7784882,145.7784882,144,NaN,NaN,4235,1789.377808,856.9924927,137.0466309,144.2567139,3589.303223,25.01885986,16.86273575,0.283210605,226.7129364,98.2133255,86.30373383,9.360813141
